Designator,Mid X,Mid Y,Rotation,Layer
A1,160.11,-85.03,180.0,bottom
C1,160.8,-96.4,90.0,top
C10,161.4,-61.78,90.0,top
C11,157.9,-61.78,90.0,top
C12,159.6,-61.0,90.0,top
C13,153.58,-71.0,180.0,top
C14,152.8,-68.4,180.0,top
C15,160.4,-76.0,270.0,top
C16,163.375,-79.4,180.0,top
C17,152.5,-54.1,90.0,top
C18,145.9,-54.1,90.0,top
C19,149.2,-54.1,90.0,top
C2,165.1,-100.9,0.0,top
C20,168.6,-54.025,270.0,top
C21,147.925,-49.9,0.0,top
C3,155.1,-100.9,180.0,top
C4,157.3,-75.1,270.0,top
C5,156.8,-61.8,90.0,top
C6,153.6,-65.8,180.0,top
C7,153.58,-66.8,180.0,top
C8,153.6,-69.9,180.0,top
C9,158.9,-74.3,270.0,top
D1,168.9,-103.5,270.0,top
J1,160.0,-109.925,0.0,top
J2,171.5,-52.0,270.0,bottom
J3,160.0,-42.69,180.0,top
J4,160.0,-56.5,270.0,top
R1,166.2,-105.6,90.0,top
R10,171.8,-54.0,90.0,top
R11,173.4,-54.0,90.0,top
R12,150.8,-54.1,270.0,top
R13,147.5,-54.1,270.0,top
R14,170.2,-54.0,90.0,top
R15,146.2,-88.3,0.0,top
R16,146.2,-86.6,180.0,top
R2,153.8,-105.6,90.0,top
R3,157.3,-96.6,90.0,top
R4,162.7,-96.6,90.0,top
R5,159.0,-96.6,90.0,top
R6,153.7,-62.075,90.0,top
R7,148.9,-37.4,180.0,top
R8,148.9,-39.1,180.0,top
R9,166.7,-76.2,270.0,top
S1,175.2,-102.75,90.0,top
SW1,160.0,-90.0,0.0,top
U1,160.0375,-101.15,0.0,top
U2,160.1,-68.0,180.0,top
Y1,163.2,-76.2,90.0,top
